"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"1","2010 GZ60","2018-2116",478,5.4e-06,3,16.1,2,-0.83,"Medio Plazo",-12.129111604394,"Nivel Bajo","Nivel Alto",2018,2116
"2","29075 1950 DA","2880-2880",1,0.00012,14.1,17.6,1.3,-1.42,"Muy Largo Plazo",-9.02801881518223,"Nivel Bajo","Nivel Alto",2880,2880
"3","101955 Bennu 1999 RQ36","2175-2199",78,0.00037,5.99,20.2,0.49,-1.71,"Muy Largo Plazo",-7.902007552326,"Nivel Bajo","Nivel Alto",2175,2199
"4","410777 2009 FD","2185-2198",7,0.0016,15.87,22.1,0.16,-1.78,"Muy Largo Plazo",-6.4377516497364,"Nivel Bajo","Nivel Alto",2185,2198
"5","2017 YZ1","2047-2117",23,2.1e-05,13.92,20.7,0.25,-2.31,"Largo Plazo",-10.7709881202409,"Nivel Bajo","Nivel Alto",2047,2117
"6","2017 RH16","2026-2117",49,0.00085,12.78,25.6,0.026,-2.59,"Largo Plazo",-7.07027420847991,"Nivel Medio","Nivel Alto",2026,2117
"7","2010 AU118","2020-2112",38,1.8e-08,25.22,16.2,1.9,-2.72,"Medio Plazo",-17.8328940790502,"Nivel Bajo","Nivel Alto",2020,2112
"8","1979 XB","2056-2113",2,7.4e-07,23.92,18.5,0.662,-2.82,"Muy Largo Plazo",-14.1166156507482,"Nivel Bajo","Nivel Alto",2056,2113
"9","2007 FT3","2019-2116",165,1.5e-06,17.06,20,0.34,-2.82,"Medio Plazo",-13.4100454498561,"Nivel Bajo","Nivel Alto",2019,2116
"10","99942 Apophis 2004 MN4","2060-2105",12,8.9e-06,5.85,19.1,0.37,-2.83,"Muy Largo Plazo",-11.6294592812262,"Nivel Bajo","Nivel Alto",2060,2105
"11","2000 SG344","2069-2113",101,0.0026,1.36,24.8,0.037,-2.86,"Muy Largo Plazo",-5.9522438339547,"Nivel Bajo","Nivel Alto",2069,2113
"12","2009 JF1","2022-2022",1,0.00026,23.92,27.1,0.013,-3.28,"Medio Plazo",-8.25482892694875,"Nivel Medio","Nivel Alto",2022,2022
"13","2010 RF12","2095-2117",63,0.05,5.1,28.4,0.007,-3.3,"Muy Largo Plazo",-2.99573227355399,"Nivel Alto","Nivel Alto",2095,2117
"14","2006 QV89","2019-2040",8,5e-05,5.16,25.3,0.03,-3.31,"Medio Plazo",-9.90348755253613,"Nivel Bajo","Nivel Alto",2019,2040
"15","2017 XO2","2035-2111",76,2e-05,13.6,22.4,0.11,-3.4,"Largo Plazo",-10.8197782844103,"Nivel Bajo","Nivel Alto",2035,2111
"16","2001 CA21","2020-2073",4,1.2e-08,30.71,18.5,0.678,-3.43,"Medio Plazo",-18.2383591871584,"Nivel Bajo","Nivel Alto",2020,2073
"17","2005 ED224","2018-2064",6,3e-06,25.14,24,0.054,-3.5,"Medio Plazo",-12.7168982692962,"Nivel Bajo","Nivel Alto",2018,2064
"18","2005 QK76","2030-2107",9,6.8e-05,19.67,25.2,0.031,-3.55,"Largo Plazo",-9.59600285278817,"Nivel Bajo","Nivel Alto",2030,2107
"19","2016 RD34","2051-2093",35,0.0062,1.15,27.3,0.012,-3.6,"Muy Largo Plazo",-5.08320598693109,"Nivel Medio","Nivel Alto",2051,2093
"20","2008 JL3","2024-2116",28,9.8e-05,8.41,25.3,0.029,-3.61,"Medio Plazo",-9.2305430792937,"Nivel Bajo","Nivel Alto",2024,2116
"21","2015 ME131","2018-2089",100,3.5e-08,19.75,19.2,0.499,-3.63,"Medio Plazo",-17.167917775457,"Nivel Bajo","Nivel Alto",2018,2089
"22","2017 YE5","2078-2116",4,3.7e-07,16.4,18.8,0.58,-3.63,"Muy Largo Plazo",-14.8097628313081,"Nivel Bajo","Nivel Alto",2078,2116
"23","1994 GK","2051-2067",5,6.9e-05,14.87,24.2,0.048,-3.65,"Muy Largo Plazo",-9.58140405336701,"Nivel Bajo","Nivel Alto",2051,2067
"24","2016 WN55","2020-2114",77,1.2e-07,15.39,19.4,0.451,-3.67,"Medio Plazo",-15.9357740941644,"Nivel Bajo","Nivel Alto",2020,2114
"25","2016 NL56","2023-2117",254,7.2e-07,15.2,20.6,0.264,-3.67,"Medio Plazo",-14.1440146249363,"Nivel Bajo","Nivel Alto",2023,2117
"26","2008 UB7","2044-2100",33,3.5e-05,18.51,23.9,0.058,-3.71,"Largo Plazo",-10.2601624964749,"Nivel Bajo","Nivel Alto",2044,2100
"27","2017 VW13","2097-2097",2,2.4e-06,10.94,20.6,0.25,-3.75,"Muy Largo Plazo",-12.9400418206104,"Nivel Bajo","Nivel Alto",2097,2097
"28","2000 SB45","2074-2113",101,0.00016,7.53,24.3,0.046,-3.77,"Muy Largo Plazo",-8.74033674273045,"Nivel Bajo","Nivel Alto",2074,2113
"29","2012 QD8","2042-2105",4,6.5e-06,20.76,23.1,0.081,-3.81,"Largo Plazo",-11.9437083810627,"Nivel Bajo","Nivel Alto",2042,2105
"30","2007 DX40","2030-2111",41,6.2e-05,15.53,24.6,0.04,-3.84,"Largo Plazo",-9.68837617291918,"Nivel Bajo","Nivel Alto",2030,2111
"31","2008 EX5","2061-2090",16,4.7e-05,9.92,23.8,0.059,-3.88,"Muy Largo Plazo",-9.96536295625422,"Nivel Bajo","Nivel Alto",2061,2090
"32","2013 VW13","2071-2084",9,0.00043,16.35,26.2,0.019,-3.92,"Muy Largo Plazo",-7.75172534927667,"Nivel Medio","Nivel Alto",2071,2084
"33","2001 VB","2023-2023",1,2.4e-09,35.02,18.3,0.73,-3.95,"Medio Plazo",-19.8477970995925,"Nivel Bajo","Nivel Alto",2023,2023
"34","2010 WC9","2027-2114",19,4.3e-06,12.67,23.4,0.07,-4,"Largo Plazo",-12.3568955352648,"Nivel Bajo","Nivel Alto",2027,2114
"35","2012 HG2","2052-2117",443,0.0016,3.32,27,0.014,-4.01,"Muy Largo Plazo",-6.4377516497364,"Nivel Medio","Nivel Alto",2052,2117
"36","2009 BE","2061-2117",24,0.00043,11.46,26.1,0.02,-4.03,"Muy Largo Plazo",-7.75172534927667,"Nivel Medio","Nivel Alto",2061,2117
"37","2006 JY26","2073-2109",39,0.007,2.98,28.4,0.007,-4.06,"Muy Largo Plazo",-4.96184512992682,"Nivel Alto","Nivel Alto",2073,2109
"38","2017 YO6","2054-2116",31,5e-06,12.51,22.4,0.114,-4.06,"Muy Largo Plazo",-12.2060726455302,"Nivel Bajo","Nivel Alto",2054,2116
"39","2017 US","2070-2117",15,0.00067,4.54,26,0.021,-4.07,"Muy Largo Plazo",-7.30823284557926,"Nivel Medio","Nivel Alto",2070,2117
"40","2011 BT59","2052-2096",4,1.4e-07,37.82,20.8,0.24,-4.1,"Muy Largo Plazo",-15.7816234143371,"Nivel Bajo","Nivel Alto",2052,2096
"41","2008 CC71","2034-2082",20,5.9e-05,8.07,24.9,0.036,-4.14,"Largo Plazo",-9.73797311405855,"Nivel Bajo","Nivel Alto",2034,2082
"42","2017 RZ17","2019-2105",50,2e-08,18.89,19.8,0.372,-4.14,"Medio Plazo",-17.7275335633924,"Nivel Bajo","Nivel Alto",2019,2105
"43","2015 YJ","2042-2115",54,0.0016,16.35,28.3,0.007,-4.16,"Largo Plazo",-6.4377516497364,"Nivel Alto","Nivel Alto",2042,2115
"44","2014 GN1","2061-2061",1,2.1e-05,21.23,24.6,0.041,-4.17,"Muy Largo Plazo",-10.7709881202409,"Nivel Bajo","Nivel Alto",2061,2061
"45","2017 SH33","2026-2116",22,2.2e-08,25.2,19.2,0.49,-4.19,"Largo Plazo",-17.6322233835881,"Nivel Bajo","Nivel Alto",2026,2116
"46","2011 DU9","2046-2059",4,0.00028,8.77,26.7,0.016,-4.21,"Largo Plazo",-8.18072095479502,"Nivel Medio","Nivel Alto",2046,2059
"47","2017 LD","2053-2117",291,0.002,4.49,27.5,0.011,-4.23,"Muy Largo Plazo",-6.21460809842219,"Nivel Alto","Nivel Alto",2053,2117
"48","2010 CR5","2062-2075",3,7.5e-08,23.68,19.8,0.371,-4.24,"Muy Largo Plazo",-16.4057777234101,"Nivel Bajo","Nivel Alto",2062,2075
"49","2010 GM23","2087-2116",30,6.3e-05,13.44,24.7,0.04,-4.24,"Muy Largo Plazo",-9.67237583157274,"Nivel Bajo","Nivel Alto",2087,2116
"50","2006 DM63","2031-2116",39,0.00014,10.37,26.7,0.015,-4.26,"Largo Plazo",-8.87386813535497,"Nivel Medio","Nivel Alto",2031,2116
"51","2008 HJ","2077-2112",25,0.00026,7.53,25.8,0.024,-4.29,"Muy Largo Plazo",-8.25482892694875,"Nivel Medio","Nivel Alto",2077,2112
