"Object Designation","Removed (UTC)"
"2017 YS3","2018-01-01 15:47:14"
"2017 YP5","2017-12-31 15:49:56"
"2017 WC15","2017-12-23 15:53:03"
"2016 EG86","2017-12-22 15:51:46"
"2017 XC2","2017-12-19 16:48:41"
"2017 XM1","2017-12-13 16:41:38"
"2017 WJ13","2017-12-09 15:50:09"
"2017 WX14","2017-12-09 15:49:06"
"2017 VT14","2017-12-07 16:22:32"
"2017 RU2","2017-12-07 15:53:35"
"2017 TP2","2017-11-25 15:47:59"
"2017 WO","2017-11-19 19:47:46"
"2017 VT","2017-11-19 15:48:04"
"2017 VR12","2017-11-18 16:10:05"
"2017 VN2","2017-11-15 17:45:14"
"2017 PL26","2017-11-15 15:56:36"
"2017 VV","2017-11-11 15:55:01"
"2017 UZ7","2017-11-08 15:49:14"
"2017 UR4","2017-10-27 15:32:49"
"2017 TD6","2017-10-21 15:06:51"
"2017 UL1","2017-10-21 14:47:51"
"2017 SE19","2017-10-19 14:50:11"
"2017 FR102","2017-10-18 14:55:13"
"2017 TS3","2017-10-17 15:28:10"
"2012 TC4","2017-10-16 17:39:28"
"2017 OD69","2017-10-08 00:49:13"
"2017 SV20","2017-10-04 14:56:27"
"2013 TX68","2017-10-03 19:50:36"
"2017 SH14","2017-10-02 15:03:44"
"2017 MB1","2017-10-02 14:58:59"
"2017 SN14","2017-10-01 15:56:41"
"2017 SM14","2017-10-01 15:40:20"
"2017 SG14","2017-09-29 15:40:20"
"2017 SE12","2017-09-26 15:05:43"
"2016 FW3","2017-09-23 14:03:15"
"2017 RX2","2017-09-20 16:33:52"
"2017 RO2","2017-09-18 15:00:26"
"2017 RL","2017-09-13 14:51:14"
"2017 PV26","2017-08-31 14:47:44"
"2015 MC131","2017-08-26 14:54:47"
"2017 MB9","2017-08-25 14:49:16"
"2017 QD3","2017-08-22 15:04:30"
"2017 OP19","2017-08-11 14:48:00"
"2016 BP14","2017-08-10 16:10:43"
"2017 NR6","2017-07-24 15:01:46"
"2017 MZ3","2017-07-18 15:00:09"
"2017 MF7","2017-07-16 14:50:17"
"2017 MY3","2017-07-03 14:47:21"
"2017 LU","2017-06-26 15:47:39"
"2015 YC1","2017-06-23 02:04:09"
"2017 AF21","2017-06-21 14:50:32"
"2017 FZ2","2017-06-20 21:05:37"
"2017 LO1","2017-06-20 15:04:13"
"1991 VG","2017-06-01 19:35:11"
"2017 JG3","2017-05-21 14:48:01"
"2017 JX1","2017-05-10 14:49:15"
"2012 XB112","2017-05-08 21:12:41"
"2017 HT2","2017-05-03 14:49:32"
"2017 GM6","2017-05-02 15:04:16"
"2017 FO128","2017-05-02 14:54:17"
"2017 FC3","2017-04-26 15:21:27"
"2017 GM7","2017-04-25 14:58:16"
"2017 FN128","2017-04-22 15:50:21"
"2017 FO63","2017-04-22 15:09:15"
"2017 GP6","2017-04-21 15:46:25"
"2017 FL64","2017-04-20 21:22:15"
"2014 GC49","2017-04-20 16:12:25"
"2011 SR52","2017-04-17 05:46:36"
"2017 FD157","2017-04-16 15:33:00"
"2010 VQ139","2017-04-14 22:56:43"
"2017 FM128","2017-04-14 15:28:20"
"2017 GU5","2017-04-14 15:27:27"
"2015 PL57","2017-04-14 04:29:47"
"2012 XK134","2017-04-13 03:16:07"
"2013 XT23","2017-04-13 03:09:36"
"2014 OO6","2017-04-13 03:07:03"
"2012 VZ19","2017-04-12 23:29:51"
"2011 EC","2017-04-11 23:15:24"
"2012 SG58","2017-04-11 20:27:26"
"2012 EZ1","2017-04-11 19:08:02"
"2012 HE31","2017-04-11 07:48:31"
"2016 FX13","2017-04-11 06:39:26"
"2001 UO","2017-04-11 04:57:27"
"2007 TC14","2017-04-11 04:45:15"
"2016 WN1","2017-04-11 03:56:07"
"2008 GF1","2017-04-10 23:09:22"
"2003 XK","2017-04-10 21:12:54"
"2010 DG1","2017-04-10 19:09:57"
"2014 HO197","2017-04-10 16:15:32"
"2010 DJ77","2017-04-10 13:36:07"
"2013 UO5","2017-04-10 13:22:18"
"2012 QV17","2017-04-10 13:12:21"
"2001 VM5","2017-04-10 07:58:50"
"2010 LV108","2017-04-10 05:01:58"
"2008 OO8","2017-04-10 03:52:55"
"2017 EA23","2017-04-09 21:18:25"
"2014 MR67","2017-04-09 20:55:56"
"2015 JC1","2017-04-09 08:34:06"
"2002 GM5","2017-04-09 04:41:29"
"2016 PO66","2017-04-09 03:00:01"
"2014 HH196","2017-04-09 02:59:38"
"2014 MG68","2017-04-09 00:09:37"
"2008 UV99","2017-04-08 21:40:57"
"2012 HB25","2017-04-08 17:33:16"
"2010 LF64","2017-04-08 15:47:15"
"2016 BE","2017-04-07 23:11:12"
"2005 GV190","2017-04-07 19:08:18"
"2012 UU68","2017-04-07 14:56:40"
"2016 JT38","2017-04-06 18:26:23"
"2017 AY20","2017-04-06 17:04:08"
"2017 FW128","2017-04-05 15:39:56"
"2016 WQ1","2017-04-04 22:54:09"
"2017 GM","2017-04-04 13:07:35"
"2017 FS102","2017-04-03 16:11:40"
"2017 FV","2017-04-03 15:18:12"
"2017 FT102","2017-04-01 17:06:22"
"2017 FE101","2017-04-01 16:05:05"
"2017 FU64","2017-03-30 15:07:55"
"2017 FX90","2017-03-28 16:02:10"
"2017 FA3","2017-03-27 17:59:25"
"2017 ET2","2017-03-26 15:04:35"
"2017 FE1","2017-03-25 16:10:02"
"2017 FG3","2017-03-23 15:17:07"
"2017 EQ13","2017-03-18 15:05:44"
"2017 BD6","2017-03-14 15:03:45"
"2017 EJ1","2017-03-10 16:07:02"
"2017 DQ36","2017-03-05 16:09:14"
"2017 BL30","2017-03-02 16:13:06"
"2016 TB57","2017-02-26 16:11:14"
"2017 CA33","2017-02-25 17:02:07"
"2017 BO32","2017-02-25 16:09:21"
"2012 AP10","2017-02-24 04:23:22"
"2017 BE136","2017-02-21 18:04:40"
"2017 BY93","2017-02-19 16:15:24"
"2017 CM32","2017-02-18 16:05:28"
"2017 CH1","2017-02-15 16:06:51"
"2014 NZ64","2017-02-07 16:14:09"
"2016 AY193","2017-02-07 16:02:24"
"2017 CS","2017-02-06 17:00:26"
"2017 BV32","2017-02-05 17:54:33"
"2017 BF30","2017-02-05 17:04:06"
"2017 BW30","2017-02-04 16:08:33"
"2017 BH30","2017-01-30 06:05:32"
"2017 AP4","2017-01-28 18:06:17"
"2005 VL1","2017-01-28 03:51:00"
"2017 BL3","2017-01-27 16:13:20"
"2017 BS5","2017-01-27 16:09:26"
"2017 AK3","2017-01-27 16:09:16"
"2016 VC18","2017-01-23 16:05:28"
"2016 SJ35","2017-01-23 15:00:43"
"2017 AM4","2017-01-23 14:59:36"
"2016 YJ4","2017-01-07 16:00:45"
"2016 YY","2017-01-05 18:00:20"
"2016 YM4","2017-01-05 18:00:14"
"2016 YD8","2017-01-03 16:00:23"
"2016 YP","2016-12-25 16:01:47"
"2016 UF101","2016-12-23 15:59:47"
"2016 XZ20","2016-12-20 16:51:34"
"2016 XA2","2016-12-20 16:04:22"
"2016 WF9","2016-12-20 16:00:11"
"2016 XM23","2016-12-19 16:01:00"
"2016 WJ1","2016-12-16 18:37:59"
"2016 XC18","2016-12-15 16:01:54"
"2016 XK18","2016-12-10 16:47:38"
"2016 WQ48","2016-12-10 15:59:31"
"2016 XX17","2016-12-09 21:58:02"
"2016 XJ18","2016-12-09 16:12:31"
"2016 XW17","2016-12-09 16:12:07"
"2016 WX8","2016-12-09 16:10:30"
"2016 TF94","2016-12-06 18:57:39"
"2016 WG10","2016-12-06 16:01:12"
"2016 WJ8","2016-12-06 16:00:32"
"2016 WW9","2016-12-03 16:02:05"
"2016 WA2","2016-11-29 17:02:12"
"2016 WM1","2016-11-27 16:02:53"
"2016 VV3","2016-11-24 16:00:20"
"2016 VS5","2016-11-23 16:00:30"
"2016 VG2","2016-11-12 16:02:05"
"2016 TT92","2016-11-09 16:00:37"
"2016 UQ36","2016-11-04 15:03:04"
"2016 UZ25","2016-10-27 15:52:51"
"2016 UT4","2016-10-22 16:49:03"
"2016 TJ55","2016-10-22 16:04:49"
"2016 TB18","2016-10-21 15:02:18"
"2016 TV10","2016-10-08 15:02:11"
"2016 SJ1","2016-10-04 14:59:36"
"2016 SC17","2016-10-01 15:49:48"
"2016 SX1","2016-09-29 17:05:58"
"2016 RX","2016-09-28 15:00:27"
"2016 SF1","2016-09-27 15:12:03"
"2016 RP17","2016-09-16 15:00:54"
"2016 RV1","2016-09-09 15:02:03"
"2016 QM11","2016-09-08 15:00:35"
"2016 RB1","2016-09-06 23:11:33"
"2016 QJ44","2016-09-03 15:00:50"
"2016 QH44","2016-09-02 15:00:05"
"2016 PS26","2016-08-27 14:59:17"
"2016 PO39","2016-08-23 14:59:05"
"2016 PT","2016-08-11 15:00:03"
"2016 OJ1","2016-08-09 14:58:36"
"2016 OK1","2016-08-08 15:00:06"
"2016 OV","2016-08-02 15:48:49"
"2015 KE","2016-07-27 19:06:20"
"2016 NA39","2016-07-27 17:05:40"
"2010 EN44","2016-07-27 17:03:04"
"2016 NG33","2016-07-26 15:00:51"
"2016 EK85","2016-07-20 14:59:50"
"2016 NX22","2016-07-19 15:01:32"
"2016 NG15","2016-07-15 15:00:31"
"2016 NO16","2016-07-15 14:59:12"
"2012 PK24","2016-07-02 17:07:12"
"2011 YV62","2016-06-29 17:07:49"
"2016 LX48","2016-06-23 15:03:43"
"2016 LH11","2016-06-13 15:10:50"
"2016 LN1","2016-06-12 15:07:54"
"2016 LR9","2016-06-11 15:02:47"
"2016 KR3","2016-06-07 15:11:11"
"2016 LG","2016-06-05 15:07:55"
"2016 KS3","2016-06-05 15:05:05"
"2016 HF19","2016-06-04 15:08:35"
"2016 KO","2016-05-30 14:48:06"
"2016 FC","2016-05-11 15:08:13"
"2016 FG60","2016-05-10 18:08:33"
"2016 JD18","2016-05-10 14:57:36"
"2016 HP19","2016-05-08 14:03:32"
"2016 GB241","2016-05-05 16:02:52"
"2016 HD3","2016-05-04 01:10:46"
"2016 FJ14","2016-04-25 14:00:31"
"2016 GW220","2016-04-23 15:03:43"
"2016 GP221","2016-04-18 15:11:14"
"2016 GT220","2016-04-15 15:54:40"
"2016 GJ32","2016-04-15 15:54:26"
"2016 FD22","2016-04-14 15:04:39"
