"","Peak.Brightness.Date.Time..UT.","Latitude..deg..","Longitude..deg..","Altitude..km.","Velocity..km.s.","Calculated.Total.Impact.Energy..kt.","Altitud.sin","Velocidad.sin","Altitud.Clase"
"1","2017-12-31 09:36:10","63.5S","101.3W",64.5,NA,0.15,64.5,14.7,"Mesosfera"
"2","2017-12-29 12:47:31","14.6N","49.5W",38,NA,0.33,38,15.9,"Estratosfera"
"3","2017-12-15 13:14:37","60.2N","170.0E",20,NA,6.4,20,14.7,"Estratosfera"
"4","2017-11-19 04:17:32","24.2S","135.0E",33.3,11.4,0.098,33.3,11.4,"Estratosfera"
"5","2017-10-26 22:05:35","21.3S","177.6E",42.5,NA,1.4,42.5,14.6,"Estratosfera"
"6","2017-10-23 15:31:23","28.8N","44.6E",35.4,16.7,0.086,35.4,16.7,"Estratosfera"
"7","2017-10-15 04:33:16","65.2S","128.2E",24.1,15.9,0.11,24.1,15.9,"Estratosfera"
"8","2017-10-09 12:51:48","18.3S","64.1W",NA,NA,0.1,38,16.7,"Estratosfera"
"9","2017-10-04 12:07:05","28.1N","99.4E",37,14.6,0.54,37,14.6,"Estratosfera"
"10","2017-09-05 05:11:27","49.3N","116.9W",36,14.7,0.13,36,14.7,"Estratosfera"
"11","2017-07-31 22:01:35","24.7N","118.5W",NA,NA,0.19,64.5,11.4,"Mesosfera"
"12","2017-07-23 06:12:38","6.6S","69.7W",38,17.2,0.12,38,17.2,"Estratosfera"
"13","2017-07-13 09:30:36","23.1N","60.7E",35,13.7,0.23,35,13.7,"Estratosfera"
"14","2017-06-30 14:26:45","34.3S","134.5E",20,15.2,0.29,20,15.2,"Estratosfera"
"15","2017-06-23 20:21:55","57.0N","143.7E",35.1,24.3,0.52,35.1,24.3,"Estratosfera"
"16","2017-06-20 13:41:32","54.2S","133.0E",33.3,13.6,1.6,33.3,13.6,"Estratosfera"
"17","2017-05-24 07:03:03","9.1S","101.8E",46,18.4,0.28,46,18.4,"Estratosfera"
"18","2017-05-22 17:44:39","49.6S","157.6W",33,NA,0.12,33,16.7,"Estratosfera"
"19","2017-05-14 09:30:35","26.0S","32.4E",33,NA,0.12,33,11.4,"Estratosfera"
"20","2017-04-30 21:28:28","25.7S","56.2E",32.4,21.5,0.43,32.4,21.5,"Estratosfera"
"21","2017-03-11 04:51:21","28.3N","60.2W",28,NA,2.9,28,11.4,"Estratosfera"
"22","2017-03-09 04:16:37","40.5N","18.0W",23,36.5,1,23,36.5,"Estratosfera"
"23","2017-03-08 22:21:59","26.1S","174.9E",37,NA,0.23,37,14.6,"Estratosfera"
"24","2017-02-25 01:22:59","29.5N","13.5E",25.4,12.2,0.21,25.4,12.2,"Estratosfera"
"25","2017-02-21 18:47:30","50.7S","66.0W",NA,NA,0.13,38,14.6,"Estratosfera"
"26","2017-02-18 19:48:29","6.2N","60.4E",38,24.2,0.79,38,24.2,"Estratosfera"
"27","2017-02-07 17:37:31","27.4S","14.8W",54,NA,0.073,54,14.6,"Mesosfera"
"28","2017-02-06 06:09:59","10.4N","131.6E",33.5,NA,0.21,33.5,11.4,"Estratosfera"
"29","2016-12-23 03:29:09","21.3N","49.3E",42,29.7,0.13,42,29.7,"Estratosfera"
"30","2016-12-07 04:51:39","34.5S","126.6W",NA,NA,0.35,20,11.4,"Estratosfera"
"31","2016-11-29 08:05:38","30.6S","93.1W",NA,NA,0.11,42.5,15.9,"Estratosfera"
"32","2016-11-24 14:10:34","15.2S","80.3E",30.6,17.4,0.4,30.6,17.4,"Estratosfera"
"33","2016-11-03 17:14:29","39.6S","16.3W",37,NA,0.24,37,15.9,"Estratosfera"
"34","2016-10-01 20:23:45","36.2N","6.7E",27.8,14.2,0.11,27.8,14.2,"Estratosfera"
"35","2016-09-22 04:57:49","51.8S","178.5E",40,17.5,0.22,40,17.5,"Estratosfera"
"36","2016-09-14 15:01:51","3.5S","44.6E",54,18.3,0.24,54,18.3,"Mesosfera"
"37","2016-08-27 21:45:13","56.9S","162.2E",42,NA,0.41,42,15.9,"Estratosfera"
"38","2016-08-11 05:59:58","43.7S","53.8E",34.3,14.9,0.52,34.3,14.9,"Estratosfera"
"39","2016-08-05 18:02:44","46.4N","171.6E",32.4,NA,0.36,32.4,16.7,"Estratosfera"
"40","2016-07-21 00:48:53","7.8N","1.6W",37,NA,0.15,37,14.6,"Estratosfera"
"41","2016-07-05 01:24:26","1.0N","48.6E",38.2,25.1,0.44,38.2,25.1,"Estratosfera"
